Compound,SMILES,Vina_Affinity_kcal/mol,MMC_Final_RMSD_A,MMC_Avg_RMSD_A,MMC_Stability,Acceptance_Ratio
DeNovo_Cand_1,CC1=CN=C2N1N=CC(=C2C3=CC4=C(C=C3)C(=O)N=C(N4)N5CCC6(CC5)CC6)C,-7.7,4.66,3.7,UNSTABLE (Pocket escape),1.0
DeNovo_Cand_2,Cc1cnn2c(C)cnc2c1-c1ccc2c(=O)nc(N3CCC4(CC3)CC4)[nH]c2c1,-7.69,5.87,3.77,UNSTABLE (Pocket escape),1.0
